UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_009,175.49,10.939,10.093,-78.504,0.00100166,453.369,1.77,1.03,9.4,0.585,0.0,0.0,70.324,3.49,HAPS
UE_010,110.46,13.059,11.428,-79.435,0.00100686,506.547,1.2,0.29,9.4,0.3682,0.0,0.0,74.997,3.9,HAPS
UE_011,116.03,22.137,19.581,-73.046,0.00010137,847.658,1.46,0.86,9.4,0.3868,0.0,0.0,100.0,6.52,HAPS
UE_012,146.29,7.191,5.265,-79.776,0.0200138,276.209,1.74,3.97,9.4,0.4876,0.0,0.0,53.427,2.12,HAPS
UE_013,173.69,11.768,9.564,-79.397,0.00101665,432.703,1.31,7.83,9.4,0.579,0.0,0.0,68.475,3.33,HAPS
UE_014,109.85,23.958,19.869,-74.325,0.0001067,859.961,1.27,0.16,9.4,0.3662,0.0,0.0,100.0,6.62,HAPS
UE_015,116.14,19.61,18.098,-74.448,0.00010291,784.433,0.87,1.28,9.4,0.3871,0.0,0.0,98.342,6.03,HAPS
UE_016,143.66,17.301,14.805,-76.88,0.00010793,645.453,1.15,0.39,9.4,0.4789,0.0,0.0,86.817,4.97,HAPS
UE_017,45.05,30.367,26.176,-69.759,3.283e-05,1130.843,0.8,2.34,9.4,0.1502,0.0,0.0,100.0,8.7,HAPS
UE_018,106.16,18.784,16.998,-75.72,0.00010221,737.771,1.17,3.28,9.4,0.3539,0.0,0.0,94.493,5.68,HAPS
UE_019,111.98,18.468,16.047,-76.313,0.00011228,697.597,1.49,1.33,9.4,0.3733,0.0,0.0,91.165,5.37,HAPS
UE_000,149.62,19.065,18.432,-73.822,0.00010249,798.672,1.57,0.1,9.4,0.4987,0.0,0.0,99.513,6.14,HAPS
UE_001,109.52,12.309,8.321,-78.817,0.00100969,385.108,1.05,1.52,9.4,0.3651,0.0,0.0,64.124,2.96,HAPS
UE_002,89.98,17.933,12.978,-77.64,0.00010203,569.657,0.84,0.63,9.4,0.2999,0.0,0.0,80.422,4.38,HAPS
UE_003,171.4,12.572,10.524,-79.775,0.00100654,470.422,1.74,0.79,9.4,0.5713,0.0,0.0,71.835,3.62,HAPS
UE_004,144.6,6.553,4.434,-81.732,0.0200148,249.197,1.33,48.93,9.4,0.482,0.0,0.0,50.52,1.92,HAPS
UE_005,87.73,17.332,12.471,-74.811,0.00010539,548.875,0.64,1.13,9.4,0.2924,0.0,0.0,78.647,4.22,HAPS
UE_006,170.39,13.428,10.76,-76.89,0.0010131,479.777,1.35,1.69,9.4,0.568,0.0,0.0,72.659,3.69,HAPS
UE_007,50.13,29.296,26.859,-71.003,1.487e-05,1160.295,1.04,0.41,9.4,0.1671,0.0,0.0,100.0,8.93,HAPS
UE_008,91.2,20.619,16.074,-77.193,0.00010685,698.738,0.9,8.08,9.4,0.304,0.0,0.0,91.26,5.37,HAPS
UE_009,175.4,12.58,9.672,-79.287,0.00100755,436.894,1.84,0.37,9.4,0.5847,0.0,0.0,68.852,3.36,HAPS
UE_010,110.28,13.541,10.749,-76.186,0.0010162,479.335,1.22,0.66,9.4,0.3676,0.0,0.0,72.62,3.69,HAPS
UE_011,116.13,17.856,14.427,-76.835,0.00011805,629.667,1.3,1.42,9.4,0.3871,0.0,0.0,85.493,4.84,HAPS
