UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,network_type,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct
UAV_005,1.4402,26.452,23.852,-57.274,1.47e-06,111.013,1.51,0.5,-42.3,0.005,0.0,0.0,100.0,7.93,344.8,16.5,UAV,4.718614935987899,5.832682369813502,0.4054651081081644
UAV_006,0.7058,39.747,36.947,-49.626,1e-08,171.835,1.305,0.6,-119.5,0.002,0.0,0.0,100.0,12.274,408.4,15.3,UAV,5.15233738215652,7.999956572723137,0.4700036292457356
UAV_007,1.0375,32.201,29.001,-54.899,1e-08,134.902,1.807,1.9,-43.6,0.003,0.0,0.0,100.0,9.636,154.0,17.3,UAV,4.911934037752267,7.999956572723137,1.0647107369924282
UAV_008,2.6092,24.191,22.991,-57.305,1.47e-06,107.024,1.917,0.7,33.8,0.009,0.0,0.0,100.0,7.645,364.8,17.2,UAV,4.682353424658741,5.832682369813502,0.5306282510621704
UAV_009,0.6691,36.711,34.511,-51.944,1e-08,160.508,1.604,0.4,-87.1,0.002,0.0,0.0,100.0,11.465,208.4,11.4,UAV,5.084554677039579,7.999956572723137,0.33647223662121295
UAV_010,2.1919,22.305,19.205,-59.448,1.26e-06,89.556,1.215,0.3,83.3,0.007,0.0,0.0,100.0,6.397,61.6,10.5,UAV,4.505968443868059,5.899629110204414,0.26236426446749106
UAV_011,1.4025,27.783,23.283,-55.409,1.13e-06,108.375,1.409,0.6,-89.7,0.005,0.0,0.0,100.0,7.741,195.0,19.7,UAV,4.694782344677779,5.94692117218535,0.4700036292457356
UAV_012,2.1712,25.587,23.587,-58.107,1.03e-06,109.783,1.614,0.7,135.5,0.007,0.0,0.0,100.0,7.842,124.2,18.2,UAV,4.70757333293877,5.987162353649905,0.5306282510621704
UAV_013,1.0672,31.756,29.056,-53.822,1e-08,135.157,1.707,0.1,65.1,0.004,0.0,0.0,100.0,9.654,289.9,13.4,UAV,4.913808631679869,7.999956572723137,0.09531017980432487
UAV_014,1.6221,27.62,23.42,-55.69,1.37e-06,109.009,1.011,2.4,97.5,0.005,0.0,0.0,100.0,7.786,204.8,13.2,UAV,4.700562180627309,5.863279115840437,1.2237754316221157
UAV_015,1.0713,27.322,24.422,-55.539,1.44e-06,113.654,1.907,0.1,-126.5,0.004,0.0,0.0,100.0,8.118,198.5,16.2,UAV,4.741918897487289,5.841637206311465,0.09531017980432487
