UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_014,0.403,21.238,17.738,-59.881,1e-07,443.742,1.135,0.1,-22.2,0.0013,0.0,0.0,97.08,5.92,5G_NR
UE_015,0.423,25.972,18.572,-58.014,1e-07,464.21,1.122,0.2,151.6,0.0014,0.0,0.0,100.0,6.19,5G_NR
UE_016,0.761,7.813,3.913,-65.293,0.01,134.374,1.241,4.0,47.7,0.0025,0.0,0.0,48.7,1.79,5G_NR
UE_017,0.163,36.49,33.59,-52.355,0.0,836.931,1.346,2.0,114.3,0.0005,0.0,0.0,100.0,11.16,5G_NR
UE_018,0.548,11.269,7.969,-64.065,0.001,214.569,1.115,0.2,-107.2,0.0018,0.0,0.0,62.89,2.86,5G_NR
UE_019,0.134,40.413,34.663,-49.994,0.0,863.642,1.083,0.9,-128.9,0.0004,0.0,0.0,100.0,11.52,5G_NR
UE_000,0.197,36.185,30.635,-51.108,0.0,763.348,1.34,1.4,7.3,0.0007,0.0,0.0,100.0,10.18,5G_NR
UE_001,0.139,42.959,36.709,-48.92,0.0,914.617,1.209,2.3,-94.4,0.0005,0.0,0.0,100.0,12.19,5G_NR
UE_002,1.166,4.775,0.225,-67.713,0.01,77.837,1.137,9.0,7.3,0.0039,0.0,0.0,35.79,1.04,5G_NR
UE_003,0.362,27.468,21.668,-56.066,1e-07,540.581,1.056,1.6,-87.0,0.0012,0.0,0.0,100.0,7.21,5G_NR
UE_004,0.588,10.77,3.52,-64.815,0.01,127.51,1.534,2.0,-6.4,0.002,0.0,0.0,47.32,1.7,5G_NR
UE_005,0.509,11.981,3.831,-63.809,0.01,132.931,1.246,9.0,-15.9,0.0017,0.0,0.0,48.41,1.77,5G_NR
UE_006,0.543,12.609,6.709,-63.896,0.001,188.066,1.314,1.4,-16.0,0.0018,0.0,0.0,58.48,2.51,5G_NR
UE_007,0.547,15.373,9.373,-61.514,0.001,245.346,1.495,0.4,-11.4,0.0018,0.0,0.0,67.8,3.27,5G_NR
UE_008,0.182,40.972,35.372,-49.814,0.0,881.316,1.338,2.7,17.9,0.0006,0.0,0.0,100.0,11.75,5G_NR
UE_009,0.675,14.48,8.18,-61.86,0.001,219.118,1.268,2.8,-1.8,0.0023,0.0,0.0,63.63,2.92,5G_NR
UE_010,0.614,17.427,12.427,-60.786,1e-05,315.635,1.236,0.4,-24.3,0.002,0.0,0.0,78.5,4.21,5G_NR
UE_011,0.67,9.337,6.437,-64.831,0.001,182.532,1.422,1.5,74.2,0.0022,9.0,0.01,57.53,2.43,5G_NR
UE_012,0.619,11.232,7.932,-65.084,0.001,213.773,1.182,2.8,62.9,0.0021,0.0,0.0,62.76,2.85,5G_NR
UE_013,0.084,55.186,50.836,-41.707,0.0,1266.563,1.403,1.9,80.3,0.0003,0.0,0.0,100.0,16.89,5G_NR
UE_014,0.413,24.438,17.238,-57.581,1e-07,431.492,1.211,0.0,-22.2,0.0014,0.0,0.0,95.33,5.75,5G_NR
UE_015,0.459,15.689,10.689,-62.055,1e-05,275.181,1.466,0.8,151.6,0.0015,0.0,0.0,72.41,3.67,5G_NR
UE_016,0.682,15.243,10.143,-62.079,1e-05,262.693,1.118,2.4,47.7,0.0023,0.0,0.0,70.5,3.5,5G_NR
UE_017,0.096,51.754,46.554,-44.323,0.0,1159.879,1.29,1.4,114.3,0.0003,0.0,0.0,100.0,15.47,5G_NR
UE_018,0.68,14.325,7.275,-62.437,0.001,199.834,1.413,1.9,-107.2,0.0023,0.0,0.0,60.46,2.66,5G_NR
UE_019,0.242,35.709,31.509,-52.746,0.0,785.105,1.204,1.0,-128.9,0.0008,0.0,0.0,100.0,10.47,5G_NR
UE_000,0.157,37.42,33.77,-51.99,0.0,841.394,1.491,2.3,7.3,0.0005,0.0,0.0,100.0,11.22,5G_NR
UE_001,0.13,40.855,34.205,-49.872,0.0,852.253,1.073,1.7,-94.4,0.0004,0.0,0.0,100.0,11.36,5G_NR
UE_002,0.654,11.241,7.791,-64.879,0.001,210.764,1.08,2.6,7.3,0.0022,0.0,0.0,62.27,2.81,5G_NR
UE_003,0.374,18.953,10.603,-61.323,1e-05,273.201,1.037,0.5,-87.0,0.0012,0.0,0.0,72.11,3.64,5G_NR
UE_004,0.6,11.117,4.167,-65.341,0.001,138.918,1.23,2.0,-6.4,0.002,0.0,0.0,49.59,1.85,5G_NR
UE_005,0.519,18.488,12.338,-60.656,1e-05,313.54,1.072,0.5,-15.9,0.0017,0.0,0.0,78.18,4.18,5G_NR
UE_006,0.617,10.514,6.464,-64.943,0.001,183.07,1.362,0.5,-16.0,0.0021,0.0,0.0,57.62,2.44,5G_NR
UE_007,0.545,12.54,8.04,-62.93,0.001,216.096,1.23,0.3,-11.4,0.0018,0.0,0.0,63.14,2.88,5G_NR
UE_008,0.193,38.617,33.417,-49.991,0.0,832.622,1.349,2.0,17.9,0.0006,0.0,0.0,100.0,11.1,5G_NR
UE_009,0.812,9.46,5.21,-65.97,0.001,158.297,1.426,2.4,-1.8,0.0027,0.0,0.0,53.23,2.11,5G_NR
UE_010,0.586,14.534,8.184,-62.133,0.001,219.208,1.139,1.8,18.0,0.002,0.0,0.0,63.64,2.92,5G_NR
UE_011,0.608,14.428,8.128,-63.286,0.001,217.993,1.446,0.7,74.2,0.002,9.0,0.01,63.45,2.91,5G_NR
UE_012,0.595,18.178,11.678,-60.711,1e-05,298.058,1.1,2.2,62.9,0.002,0.0,0.0,75.87,3.97,5G_NR
UE_013,0.091,51.812,45.862,-43.294,0.0,1142.641,1.179,2.2,80.3,0.0003,0.0,0.0,100.0,15.24,5G_NR
UE_014,0.424,21.123,14.473,-59.239,1e-05,364.372,1.337,0.6,-22.2,0.0014,0.0,0.0,85.65,4.86,5G_NR
UE_015,0.525,16.038,8.238,-61.781,0.001,220.367,1.142,2.1,151.6,0.0017,0.0,0.0,63.83,2.94,5G_NR
UE_016,0.622,10.349,6.449,-63.926,0.001,182.765,1.092,2.1,47.7,0.0021,0.0,0.0,57.57,2.44,5G_NR
UE_017,0.126,43.097,37.747,-48.251,0.0,940.472,1.178,2.9,114.3,0.0004,0.0,0.0,100.0,12.54,5G_NR
UE_018,0.792,4.305,-0.695,-68.548,0.1,66.685,1.394,24.0,107.2,0.0026,0.0,0.0,32.57,0.89,5G_NR
UE_019,0.358,18.095,13.095,-61.252,1e-05,331.437,1.321,1.9,-128.9,0.0012,0.0,0.0,80.83,4.42,5G_NR
UE_000,0.117,46.233,38.283,-46.784,0.0,953.808,1.202,2.1,7.3,0.0004,0.0,0.0,100.0,12.72,5G_NR
UE_001,0.186,38.823,36.173,-50.589,0.0,901.249,1.029,1.2,-94.4,0.0006,0.0,0.0,100.0,12.02,5G_NR
UE_002,0.801,5.33,-1.82,-67.435,0.1,54.689,1.32,27.0,7.3,0.0027,0.0,0.0,28.63,0.73,5G_NR
UE_003,0.406,21.054,17.754,-58.873,1e-07,444.14,1.136,2.7,-87.0,0.0014,0.0,0.0,97.14,5.92,5G_NR
UE_004,0.612,7.905,4.055,-66.347,0.001,136.909,1.186,2.0,-6.4,0.002,0.0,0.0,49.19,1.83,5G_NR
UE_005,0.49,21.764,14.614,-59.618,1e-05,367.783,1.319,0.0,-15.9,0.0016,0.0,0.0,86.15,4.9,5G_NR
UE_006,0.612,10.286,3.386,-65.857,0.01,125.196,1.346,5.0,-16.0,0.002,0.0,0.0,46.85,1.67,5G_NR
UE_007,0.543,11.922,5.422,-63.239,0.001,162.39,1.159,1.1,-11.4,0.0018,0.0,0.0,53.98,2.17,5G_NR
UE_008,0.206,32.094,25.494,-54.253,0.0,635.48,1.321,0.3,17.9,0.0007,0.0,0.0,100.0,8.47,5G_NR
UE_009,0.867,11.782,5.032,-64.409,0.001,154.916,1.342,1.5,-1.8,0.0029,0.0,0.0,52.61,2.07,5G_NR
UE_010,0.558,9.594,4.894,-65.003,0.001,152.302,1.536,3.0,18.0,0.0019,0.0,0.0,52.13,2.03,5G_NR
UE_011,0.626,18.222,13.572,-61.089,1e-05,342.797,1.373,0.3,74.2,0.0021,9.0,0.01,82.5,4.57,5G_NR
